,index,Term,LoanStatus,BorrowerRate,ProsperRating (numeric),ProsperRating (Alpha),ProsperScore,ListingCategory (numeric),EmploymentStatus,BorrowerState,Occupation,IsBorrowerHomeowner,DelinquenciesLast7Years,StatedMonthlyIncome,TotalProsperLoans,LoanOriginalAmount,LoanOriginationDate,LoanNumber,LoanOriginationQuarter,Recommendations,CurrentDelinquencies,Investors
9,12,36,Defaulted,0.1435,5.0,B,4.0,Debt Consolidation,Employed,AL,Sales - Retail,False,0.0,2416.666667,0.0,4000,2014-01-07,125045,Q1 2014,0,0.0,1
12,15,36,Defaulted,0.3177,1.0,HR,5.0,Other,Other,FL,Other,True,0.0,5500.0,0.0,4000,2012-04-19,63982,Q2 2012,0,0.0,10
18,23,36,Defaulted,0.2419,3.0,D,5.0,Other,Employed,IL,Skilled Labor,False,0.0,2500.0,0.0,2000,2013-04-26,89204,Q2 2013,0,0.0,30
21,26,60,Completed,0.2809,2.0,E,3.0,Debt Consolidation,Employed,NY,Sales - Commission,False,0.0,3885.916667,0.0,4000,2013-02-21,85538,Q1 2013,0,0.0,37
22,27,36,Completed,0.092,6.0,A,9.0,Debt Consolidation,Employed,CO,Executive,True,0.0,6666.666667,0.0,4000,2010-06-24,43110,Q2 2010,0,0.0,121
25,30,36,Completed,0.0999,6.0,A,9.0,Other,Employed,CA,Other,False,10.0,3750.0,0.0,10000,2012-02-07,60054,Q1 2012,0,1.0,30
28,33,36,Completed,0.0785,7.0,AA,10.0,Other,Employed,IL,Other,False,0.0,13083.333333,1.0,16000,2010-10-26,44987,Q4 2010,0,0.0,326
49,57,36,Defaulted,0.2552,3.0,D,5.0,Debt Consolidation,Employed,NY,Construction,True,0.0,9166.666667,0.0,2000,2012-01-20,59180,Q1 2012,0,0.0,2
55,67,12,Completed,0.2669,2.0,E,3.0,Debt Consolidation,Employed,CA,Professional,False,0.0,4777.0,1.0,3000,2011-06-27,50675,Q2 2011,0,0.0,32
59,72,36,Completed,0.2599,3.0,D,6.0,Other,Employed,FL,Other,False,1.0,8333.333333,0.0,4500,2011-05-27,49827,Q2 2011,0,1.0,49
61,74,36,Defaulted,0.3199,2.0,E,5.0,Other,Employed,FL,Fireman,True,5.0,5314.25,0.0,2500,2011-03-16,47762,Q1 2011,0,6.0,50
62,75,36,Defaulted,0.2859,2.0,E,2.0,Other,Employed,KS,Skilled Labor,False,0.0,4750.0,0.0,4000,2013-07-01,94640,Q3 2013,0,0.0,42
63,77,36,Completed,0.1099,5.0,B,8.0,Auto,Employed,VA,Analyst,True,0.0,6466.666667,1.0,5600,2011-02-24,47313,Q1 2011,0,0.0,114
67,82,36,Defaulted,0.2932,2.0,E,2.0,Other,Employed,NY,Other,False,0.0,4166.666667,1.0,4000,2013-07-19,95823,Q3 2013,0,0.0,1
